raw,edit
스타벅스,카페
쿠우쿠우,초밥뷔페
맘스터치,패스트푸드
파리바게뜨,"베이커리, 제과"
고양이카페,고양이카페
양꼬치,양꼬치
육대장,"찌개, 국밥"
설빙,"디저트, 빙수"
새마을식당,육류
빽다방,카페
피자헛,피자
큰맘할매순대국,"찌개, 국밥"
신전떡볶이,떡볶이
홍콩반점0410,중식당
바닷가재,랍스터
커피전문점,카페
두끼떡볶이,떡볶이
아웃백스테이크하우스,패밀리레스토랑
경복궁,"한식, 육류"
패밀리레스토랑,패밀리레스토랑
수제비,"수제비, 칼국수"
만화카페,만화카페
김밥천국,분식
초콜릿,디저트
삼계탕,"한식, 삼계탕"
노랑통닭,"치킨, 닭강정"
햄버거,패스트푸드
전통찻집,전통차
보드카페,보드카페
와인바,와인
파파존스,피자
"불고기,두루치기","한식, 육류"
채선당,샤브샤브
조마루,감자탕
이삭토스트,토스트
중식,중식당
크리스피크림도넛,디저트
"곱창,막창","곱창, 막창"
서가앤쿡,이탈리아음식
북카페,북카페
얌샘,분식
"초밥,롤",초밥
떡카페,"떡, 한과"
담소소사골순대육개장,"찌개, 국밥"
애슐리,뷔페
중화요리,중식당
치킨매니아,치킨
"사철탕,영양탕",보신탕
족발야시장,"족발, 보쌈"
본죽,죽
"멕시칸,브라질",남미음식
감자탕,감자탕
참이맛감자탕,감자탕
토스트,토스트
퓨전한식,한식
"해물,생선",해물
복어,복어
"매운탕,해물탕","매운탕,해물탕"
탐앤탐스,카페
자연별곡,뷔페
부어치킨,치킨
순대,순대
삼겹살,육류
샌드위치,샌드위치
오뎅바,오뎅
파스쿠찌,카페
"호프,요리주점",요리주점
요거프레소,카페
푸라닭치킨,치킨
키즈카페,키즈카페
유가네닭갈비,육류
프랭크버거,패스트푸드
온더보더,양식
피자,패스트푸드
한정식,한식
미소야,일식
"육류,고기",육류
남다른감자탕,감자탕
신의주찹쌀순대,"순대, 찌개, 국밥"
조개,해물
써브웨이,패스트푸드
굽네치킨,패스트푸드
죽,죽
롯데리아,패스트푸드
음식점,양식
육쌈냉면,한식
"떡,한과","떡,한과"
떡볶이,떡볶이
동대문엽기떡볶이,떡볶이
컴포즈커피,카페
기사식당,기사식당
일본식주점,일식
아구,해물
동남아음식,아시아음식
캘리포니아피자키친,패스트푸드
BBQ,패스트푸드
"돈까스,우동","돈가스, 우동"
아시아음식,아시아음식
일식집,일식
냉면,한식
현경,중식
갈비,육류
일본식라면,일식
설렁탕,"찌개, 국밥"
퓨전중식,중식
참치회,회
60계,패스트푸드
피자마루,패스트푸드
철판요리,일식
디저트39,디저트
이탈리안,양식
양식,양식
유천냉면,한식
술집,주점
사보텐,일식
추어,추어탕
칵테일바,칵테일바
실내포장마차,포차
도미노피자,패스트푸드
빵굼터,"베이커리, 제과"
분식,분식
베트남음식,아시아음식
폴바셋,카페
"굴,전복",한식
T.G.I.FRiDAYS,패밀리레스토랑
하남돼지집,육류
이차돌,육류
국밥,"찌개, 국밥"
고기뷔페,육류
가장맛있는족발,"족발, 보쌈"
팔각도,육류
빕스,패밀리레스토랑
쌈촌,한식
맥도날드,패스트푸드
이비가 짬뽕,중식
생어거스틴,아시아음식
김가네,분식
롤링핀,"베이커리, 제과"
카페,카페
청년다방,떡볶이
아이스크림,디저트
뷔페,뷔페
퓨전요리,퓨전요리
깐부치킨,패스트푸드
국수,한식
닭요리,육류
토끼정,일식
미스터피자,패스트푸드
고봉민김밥인,분식
뚜레쥬르,"베이커리, 제과"
맛찬들왕소금구이,육류
푸드코트,푸드코트
양철북,"곱창, 막창"
커피베이,카페
공차,카페
본죽&비빔밥cafe,한식
한스,"베이커리, 제과"
코코이찌방야,일식
샐러드,샐러드
퓨전일식,퓨전요리
해산물,해물
아티제,"베이커리, 제과"
지호한방삼계탕,삼계탕
신선설농탕,"찌개, 국밥"
라이브카페,주점
이디야커피,카페
태국음식,아시아음식
엔제리너스,카페
파리크라상,"베이커리, 제과"
신마포갈매기,육류
남가네설악추어탕,추어탕
곰탕,"찌개, 국밥"
갤러리카페,카페
커피빈,카페
등촌샤브샤브칼국수,샤브샤브
매드포갈릭,패밀리레스토랑
한솥도시락,한식
양평해장국,"찌개, 국밥"
해장국,해장국
스시오,일식
쉐이크쉑,패스트푸드
버거킹,패스트푸드
명륜진사갈비,육류
"제과,베이커리","베이커리, 제과"
던킨도너츠,"디저트, 도넛"
터키음식,터키음식
오리,육류
치킨,패스트푸드
닐리,이탈리아음식
메가커피,카페
일식,일식
한스델리,패밀리레스토랑
회,회
메콩타이,아시아음식
애견카페,애견카페
교촌치킨,패스트푸드
할리스,카페
한촌설렁탕,"찌개, 국밥"
"스테이크,립",육류
노브랜드버거,패스트푸드
누구나홀딱반한닭,패스트푸드
투썸플레이스,"카페, 디저트"
배스킨라빈스,아이스크림
쌈밥,쌈밥
샤브샤브,샤브샤브
장어,해물
KFC,패스트푸드
"찌개,전골","찌개, 국밥"
디저트카페,디저트
"족발,보쌈","족발, 보쌈"
커피니,카페
BHC치킨,패스트푸드
닭강정,패스트푸드
썬더치킨,패스트푸드
도넛,"디저트, 도넛"
한식뷔페,한식뷔페
포메인,아시아음식
두부전문점,한식
망향비빔국수,면요리
피자스쿨,패스트푸드
채식뷔페,샐러드
테마카페,카페
"게,대게","게, 대게"
한식,한식
인도음식,인도음식
간식,디저트
