name,addresse,cat1,cat2,review_num,score_min,score,review,reviews_date,reviews_id
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,친절합니다. 소곱창이라 비싸긴 합니다만 매일 먹는 거 아니니깐 한 번쯤은.ㅎ근데 느끼하긴 되게 느끼합니다.,2022.04.30.,ㅎㅎ
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,갈때마다 늘 맛있고 친절하다 대한곱창 여러 지점을 가봤지만 여기가 제일 맛있다 다 구워주는것도 아주 큰 장점,2022.03.14.,네네
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,장안동 맛집♡ 너무 너무 맛있고 곱창이 실해여~^^,2022.02.05.,김영희
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,갈 때마다 서비스 주시고 맛도 최고!  다른 지점들도 많이 가봤는데 여기랑 비교가 안 됨 ,2022.02.01.,승쟝
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,,2021.08.26.,Yohany.
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,4,곱창맛있어요,2021.08.22.,뢍뢍
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,,2021.07.22.,iru
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,,2021.07.21.,지후 아부지
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,,2021.05.02.,여진
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,,2021.03.28.,보라
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,배달시켜먹었는데 짱 맛있었어요~,2020.12.19.,L
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,3,이름만 대한곱창이고 다른지점이랑 이벤트 공유도 안돼고 메뉴도 다름. ,2020.10.20.,아지라이더
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,1,밀려드는 손님에 정신 못차리는 집. 주문도 자꾸 틀려서 세번이나 물어봄. 나온 음식이 제대로 나온건가 의심되는건 당연한 일.  내가 구우면 집게 뺏고 한 1초 휘젓다가 어서오십쇼 손님 하고 상차려주러 감. 대체로 정신없고 최악의 경험을 하고 옴.  맛있으면 용서되는데 용서 안됨.,2020.10.08.,foo
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,4,나름 저렴하고 맛도 나쁘지 않다. 저녁엔 웨이팅 각오를...,2020.08.02.,김영춘
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,"동네에 맛집이 있어서 넘 좋음. 주먹밥 서비스 주셔서 더 맛있게 잘 먹었어요~ 손님 많아도 친절하시고 맛은 곱창, 대창, 전골 다 맛있어요. 또 갈게요~",2020.06.15.,hj12
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,화사가 다녀간 곱창집 가보고 싶었는데 마침 근처라서 방문했습니다 모둠2인 맛있어요,2020.06.15.,보니
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,3,유명세에 비해 쏘쏘 곱창은 맛없을수 없어서 맛으로 논하기 어렵다 손님이 좀 많아서 불편했던것 정도가 기억에 남음,2020.05.02.,김치맨👨‍🍳
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,일요일 5시 비오는 날 방문 맛 괜찮음 / 직원분들 친절함  곱창 기름으로 튀겨먹는 느낌 느끼할 수 있는 맛을 시즈닝이 잡아줌 대부분 신선하고 곱창 곱 많음 볶음밥은 눌여 먹어야 맛남  손님 별로 없어서 편하게 먹었지만 테이블이 다닥다닥 붙어있어서 사람 많으면 옆테이블과 대화 가능할 듯  ,2020.04.20.,탕자감
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,3,맛 괜찮았어요^^,2020.02.19.,혤이
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,,2020.01.28.,Gerrard
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,3,"곱창대창막창 다 상태는 진짜 좋은 것 같아요. 받자마자 엄청 싱싱해 보여서 엄청 맛있을 거라 기대했는데,,  다 익고 나서 먹어보니 겉은 너무 딱딱하게 튀겨지고 속은 기름기를 잔뜩 머금어 느끼했어요ㅜㅜ 굽는거랑 불 조절을 직원분들이 알아서 다 해주시는데, 뭔가 불조절에 문제가 있었던 것 같아요. 제 생각에는 첨에 너무 불이 셌다가 확 낮춰서 겉은 거의 튀겨...",2020.01.20.,아루나루
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,모야 맛은 항상비슷했는데 서비스 친절 짱좋아졌어요 놀램,2020.01.03.,이런말까진안하려했는데
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,5,항상 갈때마다 완전 친절하시고 다른 곱창보다 맛있는 편 완전 배부르고 맛있게 먹어요 매번 ㅠㅠ 갈때마다 서비스도 주시고 최고 ㅠㅠ,2019.08.24.,바깥
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,1,7-8월쯤 6시에 갔을 때 50분 정도 기다려서 먹었는데 그 무더위에 천장 에어컨 두 개 중 하나 고장 ㅠㅠ 사람들 다 땀흘리면서 먹음.... 이렇게까지 기다려서 먹는데 들어가도 더워서 입맛이 살아나지 않음. 화사 방송 나온거때문에 너무 먹기 힘들어짐...,2018.12.25.,콩지
대한곱창 장안점,서울 동대문구 천호대로85길 21 (우)02644,"곱창,막창","['모둠곱창\n19,000', '소곱창\n19,000', '소대창\n18,000', '소막창\n18,000', '곱창전골 (소)\n27,000']",80,4.0,4,저녁시간대 웨이팅 30분쯤 했어요. 번호 스티커 받고 기다리세요. 웨이팅 덕인지 맛있다!맛있다! 연발하며 먹었네욬ㅋㅋ내장을 잘 못먹는 제 아내 겸 여자친구도 막창이 맛있다며 잘먹더라구요. 나머진 그닥 잘 못먹구요;; 기름져서 살찌는 맛이지만 야채들이랑 먹으니 별로 안물렸어요. 볶음밥도 짜지않아 후루룩 잘 들어갔어요^-^,2018.11.04.,손대현
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,4,,2022.01.25.,김효건
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,1,,2021.06.17.,기뮤리
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,4,저렴하넹ㅎㅎ 밑반찬 다양하게 나온당  냉면은 별루,2021.05.30.,블블
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,4,또 가고 싶어요,2021.01.20.,스마일뉴스
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,3,전체적으로 밑반찬도 깔끔하고 좋았다! 작은소 한마리가 근데 900그램이 아닌느낌.. 둘이먹기 딱 적당한양..?,2020.12.02.,김치맨👨‍🍳
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,5,,2020.09.19.,뉴맨
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,2,그냥 싼맛에 먹는데 맛없음. ,2020.04.30.,Edutech English
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,5,사장님  직원분들  이  또한 지나가리 힘내세요,2020.03.01.,뜨거은 감자
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,5,어휴 사장님 속터지시겠음 힘내세요! ㅠㅠ,2020.03.01.,nepc
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,1,어제29일 광진구확진자 19~21시 식사했어요. 방역은 했다네요. 참고하세요.,2020.03.01.,Sangtae- Kim
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,4,,2020.02.14.,이문우
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,5,완전 가성비 최고 맛도 최고,2020.01.14.,바깥
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,1,일단  에어콘부터 냉매채워야 할듯 사우나온듯  고기도 s0 s0~,2019.07.19.,min
일번지정육식당 장한평직영점,서울 동대문구 장한로 18 1층 (우)02644,"육류,고기","['소살치살 (180g)\n13,000', '소꽃등심 (180g)\n11,000', '한우꽃등심 (180g)\n29,000', '생삼겹살 (180g)\n11,000', '생목살 (180g)\n11,000']",47,3.4,4,"두 명이서 반 마리 코스를 먹었는데, 너무 배불러서 남겼을 정도로 양도 넉넉하고 맛있었습니다. 소고기를 배부르게 맛있게 먹고싶을 때 가기 좋은 것 같아요. 평일 저녁이었는데 대기는 있었습니다. 반찬에 고추장인지 고추가루들이 보여서 교환요청했네요. 반찬 재사용이 아니길 바랍니다. ",2018.09.12.,77ㅑ
송쉐프 장한평점,서울 동대문구 장한로2길 20 2~4층 (우)02645,중화요리,"['짜장면\n7,000', '볶음짬뽕\n9,000', '볶음자장\n9,000', '칠리중새우 (2~3인)\n33,000', '오룡해삼 (2~3인)\n63,000']",9,4.0,5,친절하시고 맛도 좋습니다!,2022.03.02.,캥
송쉐프 장한평점,서울 동대문구 장한로2길 20 2~4층 (우)02645,중화요리,"['짜장면\n7,000', '볶음짬뽕\n9,000', '볶음자장\n9,000', '칠리중새우 (2~3인)\n33,000', '오룡해삼 (2~3인)\n63,000']",9,4.0,5,양많고 별기대없었지만 맛있네요~,2021.11.05.,정마담
