name,addresse,cat1,cat2,review_num,score_min,score,review,reviews_date,reviews_id
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,5,,2022.05.21.,JHPHJK
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,5,친절하시고 맛까지 좋아 너무 좋아요,2022.05.19.,지수
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,5,,2022.05.15.,ㄱㅎㄱ
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,4,고기도 맛있고 서비스도 굿!!,2022.04.18.,ssk
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,5,올때마다 항상 친절하게 해주셔서 너무 좋았어용! 고기도 너무 맛있어용!!,2022.02.09.,김민영
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,4,"가성비 괜찮고, 모든 메뉴가 쏘쏘해요 ! ",2022.01.20.,동닝
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,4,그냥저냥 무난했어요 육즙 나쁘진 않았어요,2022.01.11.,나는파이리가좋아
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,2,가성비로 따져도 고기가 맛이 없어요 육즙도 고소함도 없구요.. 밑반찬도 아쉽구요  다먹고 나오는데 대기가 길던데 쿠폰때문인가..,2021.12.30.,천덕♡
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,5,가성비 좋네요 :),2021.12.17.,happyyr
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,5,맛있어요 반찬도 깔끔하게 나오구,2021.12.03.,SSD
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,5,런치세트 가성비 좋아요 맛있어요,2021.11.28.,이효진
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,5,가성비 소고기 맛집 ,2021.11.18.,——-
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,4,맛있어요,2021.11.04.,별별
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,1,예약을 했는데 기다려야하네요 ㅋㅋ 앞사람들도 다 예약했다며ㅋㅋ이럴거면 예약을 왜하나요? 서버분 말투가 ㅋㅋ.. 주차비만 버리고왔어요,2021.10.31.,숲숲
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,2,저번에 맛있어서 또 갔는데 서비스가 엉망. 남자 서버중애 틱틱거리는 인간 한명있는데 반찬그릇 던지고 가족끼리 기분좋게 밥먹으러 가서 기분 잡쳤음. 서버 교육 똑바로 시키세요. 카운터 여자도 정신없음,2021.09.05.,alksh
260도 부천점,경기 부천시 신흥로 178 두산위브더스테이트 3단지 216호 (우)14549,"육류,고기","['등심 스페셜 180g\n21,500\n등심 마니아분들을 위해 준비한 맞춤형 런치 메뉴', '추천\n런치 스페셜 220g\n26,500\n최고의 가성비로 등심과 부채살을 함께 즐길 수 있는 260도 런치 메뉴', '시그니처 스페셜 260g\n32,500\n최고의 가성비로 등심, 부채, 살치 부위를 함께 즐길 수 있는 260도 시그니처 메뉴', '매니아 스페셜 260g\n42,500\n부채, 알치마, 토시 부위로 구성된 스페셜 세트로 특수부위 매니아분들을 위한 메뉴', '추천\nVIP 스페셜 260g\n49,500\n최고급 등심, 채끝, 진갈비 부위로 구성된 스페셜 세트로 특별함을 더할 VIP 메뉴', '육수불고기\n15,000\n2인분이상 주문 가능', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",224,4.3,5,시그니처 스페셜 굳이에요 ㅎㅎ,2021.08.30.,미쏘
